run,jd_tdb,body_id,body_name,x,y,z,vx,vy,vz
tight,2461931.000000000,7,Uranus Barycenter,6.69476480507766247e+00,1.66406397566321189e+01,7.19344861117958789e+00,-3.71850687745779902e-03,1.06094472370112667e-03,5.17248648698122229e-04
tight,2461931.000000000,8,Neptune Barycenter,2.96715788088680199e+01,3.34102258003536212e+00,6.28780000704038056e-01,-3.69144900443977696e-04,2.90170087426574975e-03,1.19687127587396643e-03
tight,2461931.000000000,9,Pluto Barycenter,2.15936555578233182e+01,-2.50536498452359560e+01,-1.43245805542836866e+01,2.60349855782423568e-03,1.43021839736263761e-03,-3.38095516182103362e-04
tight,2461931.000000000,10,Sun,1.13784689293397814e-03,-2.28126823062243167e-03,-9.48289386917888408e-04,1.24614524659155197e-06,4.90257185024218327e-06,2.07770165820792362e-06
tight,2462296.250000000,1,Mercury Barycenter,2.69130551838801191e-01,-2.78344870891078400e-01,-1.76385436502739024e-01,1.61043176148250484e-02,1.76332731124918610e-02,7.75036784432245329e-03
tight,2462296.250000000,2,Venus Barycenter,-4.28566327855242957e-01,5.13919556005712264e-01,2.58479056484500702e-01,-1.62734417988273997e-02,-1.15124424828572137e-02,-4.15101422519321625e-03
tight,2462296.250000000,3,Earth-Moon Barycenter,-2.13212807700009360e-01,-9.10894162664295237e-01,-3.94812220542675507e-01,1.65349959340955720e-02,-3.38674448380798339e-03,-1.46814219103651839e-03
tight,2462296.250000000,4,Mars Barycenter,-1.21359381610518380e+00,-9.25863291576547232e-01,-3.91871908989826490e-01,9.44081359137660323e-03,-8.61822303334907822e-03,-4.20773745768240892e-03
tight,2462296.250000000,5,Jupiter Barycenter,-4.87367470528882940e+00,-2.27620596041781909e+00,-8.56942745071723855e-01,3.27653251959164182e-03,-5.85675942261238910e-03,-2.59011418185652173e-03
tight,2462296.250000000,6,Saturn Barycenter,6.43595851786284978e+00,6.12669328408029212e+00,2.25340352468679583e+00,-4.27055671135429058e-03,3.54640937304626265e-03,1.64877783385224521e-03
tight,2462296.250000000,7,Uranus Barycenter,5.31945204096780433e+00,1.69820932779223099e+01,7.36244378867431504e+00,-3.80899898058098887e-03,8.07446742584903257e-04,4.07499584027536371e-04
tight,2462296.250000000,8,Neptune Barycenter,2.95147660444074589e+01,4.39812908238716371e+00,1.06536310821232338e+00,-4.89420091452289928e-04,2.88598192369450167e-03,1.19343174858122783e-03
tight,2462296.250000000,9,Pluto Barycenter,2.25354025431494449e+01,-2.45208365157704087e+01,-1.44420500037003219e+01,2.55304652240590998e-03,1.48690431838010054e-03,-3.05203987628871736e-04
tight,2462296.250000000,10,Sun,1.06189509886398491e-03,-5.44553557985953912e-04,-2.01596321509891748e-04,-1.73216461845342636e-06,4.43251409913409032e-06,1.93707482152966843e-06
tight,2462661.500000000,1,Mercury Barycenter,3.49386444446296629e-01,3.13368945753344230e-02,-1.94945606852384781e-02,-7.05742266689270235e-03,2.57144485447195689e-02,1.44676806806875741e-02
tight,2462661.500000000,2,Venus Barycenter,7.17893198308338421e-01,-7.97934567682110352e-02,-8.12852995021485225e-02,2.86453344125804947e-03,1.82328195281470963e-02,8.02305710701529430e-03
tight,2462661.500000000,3,Earth-Moon Barycenter,-2.14307943673106072e-01,-9.09565686049772726e-01,-3.94215845482470850e-01,1.65329068255094247e-02,-3.38929550723860145e-03,-1.46919236061789191e-03
tight,2462661.500000000,4,Mars Barycenter,4.81840939567843962e-01,1.31941046771152748e+00,5.92224901076118138e-01,-1.27516397024828049e-02,4.98508887725459659e-03,2.63030582531317836e-03
