comparison,jd_tdb,body_id,body_name,position_residual_au,position_residual_km,velocity_residual_au_per_day,velocity_residual_m_per_s
tight_jx_vs_horizons_de441,2462661.500000000,8,Neptune Barycenter,1.62449685611293247e-08,2.43021270633338959e+00,1.48106658992673942e-11,2.56440287289294328e-05
tight_jx_vs_horizons_de441,2462661.500000000,9,Pluto Barycenter,2.23028119031347292e-08,3.33645317133156993e+00,1.86400266532782272e-11,3.22744015870563637e-05
tight_jx_vs_horizons_de441,2462661.500000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
tight_jx_vs_horizons_de441,2463026.750000000,1,Mercury Barycenter,1.00224667129587309e-05,1.49933967942025401e+03,8.58452767756144823e-07,1.48637391380602857e+00
tight_jx_vs_horizons_de441,2463026.750000000,2,Venus Barycenter,3.03986879673735086e-06,4.54757899199278768e+02,8.56296069728106364e-08,1.48263968426045639e-01
tight_jx_vs_horizons_de441,2463026.750000000,3,Earth-Moon Barycenter,2.19097085860628567e-06,3.27764575213251078e+02,3.65037816114425916e-08,6.32047222403891856e-02
tight_jx_vs_horizons_de441,2463026.750000000,4,Mars Barycenter,1.33185390584386132e-06,1.99242508397719917e+02,1.19128560478279380e-08,2.06265960498920944e-02
tight_jx_vs_horizons_de441,2463026.750000000,5,Jupiter Barycenter,7.21268161552107826e-08,1.07900181171898932e+01,1.27429119588531078e-10,2.20638020319674841e-04
tight_jx_vs_horizons_de441,2463026.750000000,6,Saturn Barycenter,1.87317897200011373e-08,2.80223585651231932e+00,1.24218204239949795e-11,2.15078458986969908e-05
tight_jx_vs_horizons_de441,2463026.750000000,7,Uranus Barycenter,9.94827401029006773e-09,1.48824060907954392e+00,2.48980128826151597e-12,4.31098346284768118e-06
tight_jx_vs_horizons_de441,2463026.750000000,8,Neptune Barycenter,1.99740685962118232e-08,2.98807813120902654e+00,1.02938132438363331e-11,1.78232933178399927e-05
tight_jx_vs_horizons_de441,2463026.750000000,9,Pluto Barycenter,2.96273331477753878e-08,4.43218595342672650e+00,2.58388433570960635e-11,4.47388419857917889e-05
tight_jx_vs_horizons_de441,2463026.750000000,10,Sun,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
